2023-12-12 20:07:56.973 +05:30 [INF]  TagNo : SYA18KPL00043
2023-12-12 20:08:01.848 +05:30 [INF]  TagNo : SYA18KPL00042
2023-12-12 20:08:04.483 +05:30 [INF]  TagNo : SYA18KPL00041
2023-12-12 20:08:07.201 +05:30 [INF]  TagNo : SYA18KPL00040
2023-12-12 23:16:43.632 +05:30 [INF]  TagNo : JRG0252
2023-12-12 23:26:43.790 +05:30 [INF]  TagNo : JRG0252
2023-12-12 23:29:06.531 +05:30 [INF]  TagNo : JRG0252
2023-12-12 23:31:21.246 +05:30 [INF]  TagNo : JRG0252
2023-12-12 23:32:42.577 +05:30 [INF]  TagNo : JRG0252
2023-12-12 23:36:14.281 +05:30 [INF]  TagNo : JRG0252
2023-12-12 23:36:45.659 +05:30 [INF]  TagNo : JRG0252
2023-12-12 23:38:25.745 +05:30 [INF]  TagNo : JRG0241
2023-12-12 23:39:05.629 +05:30 [INF]  TagNo : JRG0253
2023-12-12 23:41:45.008 +05:30 [INF]  TagNo : JRG0244
2023-12-12 23:43:24.435 +05:30 [INF]  TagNo : JRG0244
2023-12-12 23:44:53.263 +05:30 [INF]  TagNo : JRG0244
2023-12-12 23:45:28.809 +05:30 [INF]  TagNo : JRG0254
2023-12-12 23:47:55.572 +05:30 [INF]  TagNo : JRG0251
2023-12-12 23:48:59.613 +05:30 [INF]  TagNo : JRG0187
2023-12-12 23:49:52.569 +05:30 [INF]  TagNo : ORG0113
2023-12-12 23:50:45.917 +05:30 [INF]  TagNo : ORG0096
2023-12-12 23:51:44.278 +05:30 [INF]  TagNo : JRG0224
2023-12-12 23:52:20.253 +05:30 [INF]  TagNo : CHG0234
2023-12-12 23:52:46.924 +05:30 [INF]  TagNo : CHG0234
2023-12-12 23:53:00.053 +05:30 [INF]  TagNo : JRG0234
2023-12-12 23:53:36.501 +05:30 [INF]  TagNo : ORG0234
2023-12-12 23:54:33.990 +05:30 [INF]  TagNo : JRG0173
2023-12-12 23:55:11.354 +05:30 [INF]  TagNo : JRG0208
2023-12-12 23:55:15.440 +05:30 [INF]  TagNo : JRG0208
2023-12-12 23:56:09.939 +05:30 [INF]  TagNo : ORG0226
2023-12-12 23:56:47.262 +05:30 [INF]  TagNo : ORG0231
2023-12-12 23:57:25.252 +05:30 [INF]  TagNo : ORG0231
2023-12-12 23:59:01.651 +05:30 [INF]  TagNo : ORG0239
2023-12-12 23:59:37.692 +05:30 [INF]  TagNo : ORG0232
