2023-12-15 18:48:07.585 +05:30 [INF]  TagNo : SYA916JR00001
2023-12-15 18:49:34.943 +05:30 [INF]  TagNo : SYA916JR00002
2023-12-15 18:51:37.234 +05:30 [INF]  TagNo : SYA916JR00003
2023-12-15 18:52:14.263 +05:30 [INF]  TagNo : SYA916JR00004
2023-12-15 18:52:55.473 +05:30 [INF]  TagNo : SYA916JR00005
2023-12-15 18:53:29.435 +05:30 [INF]  TagNo : SYA916JR00006
2023-12-15 18:53:57.077 +05:30 [INF]  TagNo : SYA916JR00007
2023-12-15 18:54:24.197 +05:30 [INF]  TagNo : SYA916JR00008
2023-12-15 18:55:00.877 +05:30 [INF]  TagNo : SYA916LR00001
2023-12-15 18:55:24.480 +05:30 [INF]  TagNo : SYA916LR00002
2023-12-15 18:59:35.230 +05:30 [INF]  TagNo : SYA916BU00001
2023-12-15 19:00:11.851 +05:30 [INF]  TagNo : SYA916BU00002
2023-12-15 19:01:00.381 +05:30 [INF]  TagNo : SYA916BU00003
2023-12-15 19:25:00.061 +05:30 [INF]  TagNo : SYA916MS00001
2023-12-15 19:27:11.164 +05:30 [INF]  TagNo : SYA916MS00002
2023-12-15 19:29:16.530 +05:30 [INF]  TagNo : SYA916MS00003
2023-12-15 19:31:13.700 +05:30 [INF]  TagNo : SYA916MS00004
2023-12-15 19:36:13.031 +05:30 [INF]  TagNo : SYA916MS00005
