2023-12-15 23:46:43.639 +05:30 [INF]  TagNo : SYA916LR00004
2023-12-15 23:47:32.359 +05:30 [INF]  TagNo : SYA916LR00005
2023-12-15 23:47:46.877 +05:30 [INF]  TagNo : SYA916LR00006
2023-12-15 23:48:08.373 +05:30 [INF]  TagNo : SYA916LR00007
2023-12-15 23:49:22.050 +05:30 [INF]  TagNo : SYA916LR00008
2023-12-15 23:49:37.888 +05:30 [INF]  TagNo : SYA916LR00009
2023-12-15 23:50:24.162 +05:30 [INF]  TagNo : SYA916LR00010
2023-12-15 23:51:38.599 +05:30 [INF]  TagNo : SYA916LR00010
2023-12-15 23:52:18.360 +05:30 [INF]  TagNo : SYA916LR00011
2023-12-15 23:52:53.343 +05:30 [INF]  TagNo : SYA916LR00012
2023-12-15 23:53:54.627 +05:30 [INF]  TagNo : SYA916LR00013
2023-12-15 23:54:36.425 +05:30 [INF]  TagNo : SYA916LR00014
