2023-12-16 00:43:47.734 +05:30 [INF]  TagNo : SYA18KJR00010
2023-12-16 00:43:59.685 +05:30 [INF]  TagNo : SYA18KJR00011
2023-12-16 00:44:33.534 +05:30 [INF]  TagNo : SYA18KJR00012
2023-12-16 00:45:03.036 +05:30 [INF]  TagNo : SYA18KJR00013
2023-12-16 00:45:30.517 +05:30 [INF]  TagNo : SYA18KJR00014
2023-12-16 00:45:57.757 +05:30 [INF]  TagNo : SYA18KJR00015
2023-12-16 00:46:09.094 +05:30 [INF]  TagNo : SYA18KJR00016
2023-12-16 00:46:21.351 +05:30 [INF]  TagNo : SYA18KJR00017
2023-12-16 00:47:45.905 +05:30 [INF]  TagNo : SYA916JR00018
2023-12-16 00:49:36.910 +05:30 [INF]  TagNo : JRG0164
2023-12-16 00:50:09.929 +05:30 [INF]  TagNo : ORG0164
