2023-12-17 00:06:14.813 +05:30 [INF]  TagNo : SYA18KPL00021
2023-12-17 00:07:09.199 +05:30 [INF]  TagNo : SYA18KPL00022
2023-12-17 00:07:22.899 +05:30 [INF]  TagNo : SYA18KPL00023
2023-12-17 00:07:51.928 +05:30 [INF]  TagNo : SYA18KPL00024
2023-12-17 00:08:33.007 +05:30 [INF]  TagNo : SYA18KPL00025
2023-12-17 00:08:50.951 +05:30 [INF]  TagNo : SYA18KPL00026
2023-12-17 00:09:06.027 +05:30 [INF]  TagNo : SYA18KPL00027
2023-12-17 00:09:31.698 +05:30 [INF]  TagNo : SYA18KPL00028
2023-12-17 00:10:02.158 +05:30 [INF]  TagNo : SYA916PL00029
2023-12-17 00:10:31.094 +05:30 [INF]  TagNo : SYA916PL00030
2023-12-17 00:11:46.677 +05:30 [INF]  TagNo : SYA916PL00031
2023-12-17 00:12:20.118 +05:30 [INF]  TagNo : SYA916PL00032
2023-12-17 00:12:47.428 +05:30 [INF]  TagNo : SYA916PL00033
2023-12-17 00:13:13.134 +05:30 [INF]  TagNo : SYA916PL00034
2023-12-17 00:13:31.038 +05:30 [INF]  TagNo : SYA18KPL00035
2023-12-17 00:13:44.593 +05:30 [INF]  TagNo : SYA18KPL00036
2023-12-17 00:14:02.341 +05:30 [INF]  TagNo : SYA18KPL00037
2023-12-17 00:14:21.455 +05:30 [INF]  TagNo : SYA18KPL00038
2023-12-17 00:14:41.542 +05:30 [INF]  TagNo : SYA18KPL00039
2023-12-17 00:19:44.302 +05:30 [INF]  TagNo : SYA916PL00030
