2023-12-20 18:20:45.529 +05:30 [INF]  TagNo : SYASLOPY00465
2023-12-20 18:23:06.435 +05:30 [INF]  TagNo : BUG0005
2023-12-20 18:26:08.864 +05:30 [INF]  TagNo : BUG0005
2023-12-20 18:27:21.064 +05:30 [INF]  TagNo : BUG0005
2023-12-20 18:28:00.149 +05:30 [INF]  TagNo : BUG0005
2023-12-20 18:29:31.451 +05:30 [INF]  TagNo : BUG0005
2023-12-20 18:30:37.350 +05:30 [INF]  TagNo : BUG0005
2023-12-20 18:31:00.506 +05:30 [INF]  TagNo : BUG0005
2023-12-20 18:32:15.389 +05:30 [INF]  TagNo : BUG0005
2023-12-20 20:55:49.329 +05:30 [INF]  TagNo : BUG0005
2023-12-20 20:57:09.769 +05:30 [INF]  TagNo : BUG0005
2023-12-20 21:02:31.118 +05:30 [INF]  TagNo : BUG0005
2023-12-20 21:03:04.092 +05:30 [INF]  TagNo : BUG0005
2023-12-20 21:06:21.423 +05:30 [INF]  TagNo : BUG0005
2023-12-20 21:07:35.253 +05:30 [INF]  TagNo : BUG0005
2023-12-20 21:08:18.216 +05:30 [INF]  TagNo : BUG0005
2023-12-20 21:09:00.440 +05:30 [INF]  TagNo : BUG0005
2023-12-20 21:09:26.975 +05:30 [INF]  TagNo : BUG0005
2023-12-20 21:11:13.814 +05:30 [INF]  TagNo : BUG0005
2023-12-20 21:11:37.876 +05:30 [INF]  TagNo : BUG0005
