2023-12-22 14:44:06.248 +05:30 [INF]  TagNo : SYA916BU00031
2023-12-22 14:45:16.897 +05:30 [INF]  TagNo : SYA20KBU00032
2023-12-22 14:46:01.126 +05:30 [INF]  TagNo : SYA916BU00033
2023-12-22 14:46:20.655 +05:30 [INF]  TagNo : SYA20KBU00034
2023-12-22 14:46:40.731 +05:30 [INF]  TagNo : SYA20KBU00035
2023-12-22 14:50:00.100 +05:30 [INF]  TagNo : SYA916BU00036
2023-12-22 14:50:58.259 +05:30 [INF]  TagNo : SYA916BU00037
2023-12-22 14:51:43.789 +05:30 [INF]  TagNo : SYA916BU00038
2023-12-22 14:52:27.376 +05:30 [INF]  TagNo : SYA916BU00039
2023-12-22 14:53:12.802 +05:30 [INF]  TagNo : SYA916BU00039
2023-12-22 14:53:40.298 +05:30 [INF]  TagNo : SYA916BU00040
2023-12-22 14:55:13.293 +05:30 [INF]  TagNo : SYA916BU00041
2023-12-22 14:55:58.290 +05:30 [INF]  TagNo : SYA916BU00042
2023-12-22 14:56:58.336 +05:30 [INF]  TagNo : SYA916BU00042
2023-12-22 14:57:03.374 +05:30 [INF]  TagNo : SYA916BU00043
2023-12-22 14:58:14.253 +05:30 [INF]  TagNo : SYA18KBU00044
2023-12-22 14:59:00.590 +05:30 [INF]  TagNo : SYA916BU00045
2023-12-22 14:59:33.685 +05:30 [INF]  TagNo : SYA916BU00046
2023-12-22 14:59:49.807 +05:30 [INF]  TagNo : SYA916BU00046
2023-12-22 15:00:12.277 +05:30 [INF]  TagNo : SYA916BU00047
2023-12-22 15:00:58.553 +05:30 [INF]  TagNo : SYA916BU00048
2023-12-22 15:04:00.205 +05:30 [INF]  TagNo : ORG0092
2023-12-22 15:07:33.021 +05:30 [INF]  TagNo : BUG0809
2023-12-22 15:10:30.729 +05:30 [INF]  TagNo : BUG0635
2023-12-22 15:16:12.240 +05:30 [INF]  TagNo : BUG0067
2023-12-22 15:17:52.581 +05:30 [INF]  TagNo : ORG0091
2023-12-22 15:18:46.703 +05:30 [INF]  TagNo : ORG0344
