2023-12-27 19:40:35.320 +05:30 [INF]  TagNo : BUG0703
2023-12-27 19:40:57.025 +05:30 [INF]  TagNo : BUG0805
2023-12-27 19:41:16.212 +05:30 [INF]  TagNo : BUG0616
2023-12-27 19:45:03.150 +05:30 [INF]  TagNo : ORG0157
2023-12-27 19:45:27.800 +05:30 [INF]  TagNo : JRG0243
2023-12-27 19:45:59.775 +05:30 [INF]  TagNo : JRG0246
2023-12-27 19:46:28.427 +05:30 [INF]  TagNo : JRG0245
2023-12-27 19:46:42.244 +05:30 [INF]  TagNo : JRG0194
2023-12-27 19:46:53.515 +05:30 [INF]  TagNo : ORG0220
2023-12-27 19:47:34.682 +05:30 [INF]  TagNo : ORG0414
2023-12-27 19:47:56.699 +05:30 [INF]  TagNo : JRG0193
2023-12-27 19:48:31.965 +05:30 [INF]  TagNo : ORG0415
2023-12-27 19:48:45.841 +05:30 [INF]  TagNo : ORG0453
2023-12-27 19:49:30.557 +05:30 [INF]  TagNo : ORG0214
2023-12-27 19:49:44.709 +05:30 [INF]  TagNo : ORG0450
2023-12-27 19:51:31.764 +05:30 [INF]  TagNo : JRG0237
2023-12-27 19:52:38.406 +05:30 [INF]  TagNo : JRG0216
2023-12-27 19:53:21.279 +05:30 [INF]  TagNo : JRG0160
2023-12-27 19:53:32.746 +05:30 [INF]  TagNo : JRG0249
2023-12-27 19:56:01.269 +05:30 [INF]  TagNo : JRG0215
2023-12-27 19:56:19.071 +05:30 [INF]  TagNo : JRG0247
2023-12-27 19:56:39.205 +05:30 [INF]  TagNo : JRG0242
2023-12-27 19:57:00.163 +05:30 [INF]  TagNo : ORG0222
2023-12-27 19:57:12.282 +05:30 [INF]  TagNo : JRG0248
2023-12-27 19:57:30.948 +05:30 [INF]  TagNo : JRG0250
2023-12-27 19:57:54.104 +05:30 [INF]  TagNo : JRG0240
2023-12-27 19:58:10.615 +05:30 [INF]  TagNo : ORG0227
2023-12-27 19:58:39.248 +05:30 [INF]  TagNo : ORG0412
2023-12-27 19:59:00.653 +05:30 [INF]  TagNo : ORG0099
2023-12-27 19:59:15.191 +05:30 [INF]  TagNo : ORG0216
2023-12-27 19:59:40.027 +05:30 [INF]  TagNo : JRG0226
2023-12-27 20:00:48.332 +05:30 [INF]  TagNo : ORG0221
2023-12-27 20:13:20.070 +05:30 [INF]  TagNo : LRG0719
2023-12-27 20:13:43.350 +05:30 [INF]  TagNo : ORG0312
2023-12-27 20:14:06.941 +05:30 [INF]  TagNo : LRG0402
2023-12-27 20:14:32.747 +05:30 [INF]  TagNo : LRG0667
2023-12-27 20:15:34.327 +05:30 [INF]  TagNo : LRG0334
2023-12-27 20:20:02.296 +05:30 [INF]  TagNo : JRG0232
2023-12-27 20:20:15.451 +05:30 [INF]  TagNo : ORG0242
2023-12-27 20:20:48.919 +05:30 [INF]  TagNo : ORG0405
2023-12-27 20:20:58.162 +05:30 [INF]  TagNo : ORG0405
2023-12-27 20:21:23.056 +05:30 [INF]  TagNo : ORG0140
2023-12-27 20:21:42.870 +05:30 [INF]  TagNo : ORG0238
2023-12-27 20:22:00.383 +05:30 [INF]  TagNo : ORG0142
2023-12-27 20:22:12.022 +05:30 [INF]  TagNo : ORG0141
2023-12-27 20:22:32.942 +05:30 [INF]  TagNo : JRG0233
2023-12-27 20:22:52.498 +05:30 [INF]  TagNo : JRG0230
2023-12-27 20:23:10.416 +05:30 [INF]  TagNo : ORG0237
2023-12-27 20:23:26.927 +05:30 [INF]  TagNo : ORG0241
2023-12-27 20:24:09.824 +05:30 [INF]  TagNo : ORG0026
2023-12-27 20:24:27.335 +05:30 [INF]  TagNo : JRG0229
2023-12-27 20:25:11.429 +05:30 [INF]  TagNo : ORG0028
2023-12-27 20:31:19.891 +05:30 [INF]  TagNo : ORG0287
2023-12-27 20:31:52.585 +05:30 [INF]  TagNo : ORG0313
2023-12-27 20:32:32.710 +05:30 [INF]  TagNo : ORG0277
2023-12-27 20:43:17.988 +05:30 [INF]  TagNo : ORG0480
2023-12-27 20:44:29.557 +05:30 [INF]  TagNo : ORG0477
2023-12-27 20:45:49.611 +05:30 [INF]  TagNo : ORG0128
2023-12-27 20:46:17.971 +05:30 [INF]  TagNo : ORG0383
2023-12-27 20:46:54.075 +05:30 [INF]  TagNo : ORG0476
2023-12-27 20:47:44.019 +05:30 [INF]  TagNo : ORG0476
2023-12-27 20:48:17.072 +05:30 [INF]  TagNo : ORG0476
2023-12-27 20:51:18.347 +05:30 [INF]  TagNo : ORG0281
2023-12-27 20:52:19.727 +05:30 [INF]  TagNo : ORG0422
2023-12-27 20:57:34.010 +05:30 [INF]  TagNo : LRG0644
