2023-12-29 22:53:09.422 +05:30 [INF]  TagNo : ORG0279
2023-12-29 22:53:49.696 +05:30 [INF]  TagNo : LRG0696
2023-12-29 22:55:10.793 +05:30 [INF]  TagNo : LRG0705
2023-12-29 22:55:47.699 +05:30 [INF]  TagNo : LRG0183
2023-12-29 22:56:21.757 +05:30 [INF]  TagNo : LRG0695
2023-12-29 22:56:57.610 +05:30 [INF]  TagNo : ORG0319
2023-12-29 22:57:33.096 +05:30 [INF]  TagNo : ORG0296
2023-12-29 22:58:10.776 +05:30 [INF]  TagNo : ORG0131
2023-12-29 22:59:08.426 +05:30 [INF]  TagNo : LRG0720
2023-12-29 22:59:16.632 +05:30 [INF]  TagNo : LRG0720
2023-12-29 23:00:19.313 +05:30 [INF]  TagNo : ORG0410
2023-12-29 23:01:22.916 +05:30 [INF]  TagNo : BUG0728
2023-12-29 23:02:38.344 +05:30 [INF]  TagNo : BUG0729
2023-12-29 23:03:30.580 +05:30 [INF]  TagNo : ORG0407
