2024-01-10 19:13:27.178 +05:30 [INF]  TagNo : CHG0349
2024-01-10 19:14:06.531 +05:30 [INF]  TagNo : CHG0350
2024-01-10 19:14:36.525 +05:30 [INF]  TagNo : BUG0846
2024-01-10 19:16:13.371 +05:30 [INF]  TagNo : MPG0104
2024-01-10 19:17:06.879 +05:30 [INF]  TagNo : MPG0103
2024-01-10 19:18:47.676 +05:30 [INF]  TagNo : MSG0138
2024-01-10 19:19:13.384 +05:30 [INF]  TagNo : CHG0348
2024-01-10 19:20:40.982 +05:30 [INF]  TagNo : JRG0267
2024-01-10 19:21:02.568 +05:30 [INF]  TagNo : LKG0134
2024-01-10 19:21:36.822 +05:30 [INF]  TagNo : MPG0102
2024-01-10 19:22:36.126 +05:30 [INF]  TagNo : KNG0076
2024-01-10 19:22:48.690 +05:30 [INF]  TagNo : KNG0076
2024-01-10 19:23:56.727 +05:30 [INF]  TagNo : LKG0133
2024-01-10 19:25:43.713 +05:30 [INF]  TagNo : CHG0347
2024-01-10 19:26:07.975 +05:30 [INF]  TagNo : MPG0103
