2024-01-10 20:15:04.211 +05:30 [INF]  TagNo : SYA916PL00029
2024-01-10 20:15:41.434 +05:30 [INF]  TagNo : SYA18KPL00040
2024-01-10 20:17:00.624 +05:30 [INF]  TagNo : SYA18KPL00050
2024-01-10 20:17:27.322 +05:30 [INF]  TagNo : SYA18KPL00027
2024-01-10 20:17:50.466 +05:30 [INF]  TagNo : ORG0358
2024-01-10 20:18:09.861 +05:30 [INF]  TagNo : SYA18KPL00013
2024-01-10 20:19:01.723 +05:30 [INF]  TagNo : SYA18KPL00014
2024-01-10 20:19:32.017 +05:30 [INF]  TagNo : SYA18KPL00036
2024-01-10 20:19:51.857 +05:30 [INF]  TagNo : SYA18KPL00048
2024-01-10 20:20:44.713 +05:30 [INF]  TagNo : PLG0281
2024-01-10 20:20:50.991 +05:30 [INF]  TagNo : PLG0281
2024-01-10 20:22:08.504 +05:30 [INF]  TagNo : SYA18KPL00018
2024-01-10 20:22:35.726 +05:30 [INF]  TagNo : SYA916PL00031
2024-01-10 20:22:53.945 +05:30 [INF]  TagNo : SYA18KPL00038
2024-01-10 20:23:23.714 +05:30 [INF]  TagNo : PLG0082
2024-01-10 20:23:48.948 +05:30 [INF]  TagNo : SYA18KPL00041
2024-01-10 20:24:05.941 +05:30 [INF]  TagNo : SYA18KPL00056
2024-01-10 20:24:25.140 +05:30 [INF]  TagNo : SYA18KPL00043
2024-01-10 20:30:16.171 +05:30 [INF]  TagNo : SYA18KPL00133
2024-01-10 20:31:50.211 +05:30 [INF]  TagNo : SYA18KPL00060
